"РР”";"Р§Р›Р’Рљ_РР”";"РќРћРњР•Р _Р”РћРљРЈРњР•РќРўРђ";"РћР¦Р•РќРљРђ";"РЎР РћРљ_РЎР”РђР§Р";"Р”РђРўРђ";"РЎР­РЎ_РР”";"РўР’_РР”";"РљРўРћ_РЎРћР—Р”РђР›";"РљРћР“Р”Рђ_РЎРћР—Р”РђР›";"РљРўРћ_РР—РњР•РќРР›";"РљРћР“Р”Рђ_РР—РњР•РќРР›";"Р’Р•Р”_РР”";"РЎРћРЎРўРћРЇРќРР•";"РћРўР”_РР”";"Р‘РЈРљР’Рђ";"РџР РРњР•Р§РђРќРР•";"Р‘РђР›Р›Р«"
1250983;142401;"41329";"4";;2010-06-18 00:00:00.000;285416;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;B;;
1250984;142402;"41329";"3";;2010-06-18 00:00:00.000;285416;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;E;;
1210750;137871;"40063";"4";;2010-05-28 00:00:00.000;271832;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;B;;
1210751;136562;"40063";"5";;2010-05-28 00:00:00.000;271832;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;A;;
1210779;136727;"40054";"3";;2010-06-01 00:00:00.000;271783;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;D;;
1210780;137767;"40054";"5";;2010-06-01 00:00:00.000;271783;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;A;;
1210781;137791;"40054";"5";;2010-06-01 00:00:00.000;271783;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;A;;
1210782;137843;"40054";"5";;2010-06-01 00:00:00.000;271783;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;A;;
1210783;153942;"40054";"5";;2010-06-01 00:00:00.000;271783;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;A;;
1210784;137853;"40054";"5";;2010-06-01 00:00:00.000;271783;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;A;;
1210785;132530;"40054";"5";;2010-06-01 00:00:00.000;271783;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;A;;
1210786;137867;"40054";"5";;2010-06-01 00:00:00.000;271783;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;A;;
1210787;137875;"40054";"5";;2010-06-01 00:00:00.000;271783;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;A;;
1210788;136687;"40054";"4";;2010-06-01 00:00:00.000;271783;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;B;;
1210789;137888;"40054";"5";;2010-06-01 00:00:00.000;271783;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;A;;
1210790;137892;"40054";"5";;2010-06-01 00:00:00.000;271783;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;A;;
1210791;137898;"40054";"5";;2010-06-01 00:00:00.000;271783;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;A;;
1210792;136725;"40054";"5";;2010-06-01 00:00:00.000;271783;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;A;;
1210793;137934;"40054";"4";;2010-06-01 00:00:00.000;271783;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;B;;
1210794;137948;"40054";"5";;2010-06-01 00:00:00.000;271783;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;A;;
1210795;137968;"40054";"5";;2010-06-01 00:00:00.000;271783;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;A;;
1211019;137747;"84486";"3";;2010-06-04 00:00:00.000;271319;2;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;D;;
1211020;138998;"85059";"3";;2010-06-04 00:00:00.000;271319;2;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;D;;
1218043;153285;"42013";"3";;2010-06-09 00:00:00.000;270698;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;E;;
1218044;153355;"42013";"4";;2010-06-09 00:00:00.000;270698;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;C;;
1218045;153344;"42013";"3";;2010-06-09 00:00:00.000;270698;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;E;;
1209260;137893;"80612";"3";;2010-06-01 00:00:00.000;285555;2;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;E;;
1209261;153412;"41543";Р·Р°С‡РµС‚;;2010-05-27 00:00:00.000;270789;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;;;
1209262;153411;"41543";Р·Р°С‡РµС‚;;2010-05-27 00:00:00.000;270789;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;;;
1209263;153409;"41543";Р·Р°С‡РµС‚;;2010-05-27 00:00:00.000;270789;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;;;
1209264;153408;"41543";Р·Р°С‡РµС‚;;2010-05-27 00:00:00.000;270789;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;;;
1209265;153366;"41543";Р·Р°С‡РµС‚;;2010-05-27 00:00:00.000;270789;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;;;
1209266;153316;"41543";Р·Р°С‡РµС‚;;2010-05-27 00:00:00.000;270789;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;;;
1209267;153313;"41543";Р·Р°С‡РµС‚;;2010-05-27 00:00:00.000;270789;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;;;
1209268;153312;"41543";Р·Р°С‡РµС‚;;2010-05-27 00:00:00.000;270789;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;;;
1209269;153311;"41543";Р·Р°С‡РµС‚;;2010-05-27 00:00:00.000;270789;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;;;
1209270;153310;"41543";Р·Р°С‡РµС‚;;2010-05-27 00:00:00.000;270789;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;;;
1209271;153308;"41543";Р·Р°С‡РµС‚;;2010-05-27 00:00:00.000;270789;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;;;
1209272;153305;"41543";Р·Р°С‡РµС‚;;2010-05-27 00:00:00.000;270789;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;;;
1209273;153303;"41543";Р·Р°С‡РµС‚;;2010-05-27 00:00:00.000;270789;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;;;
1209274;153328;"41543";Р·Р°С‡РµС‚;;2010-05-27 00:00:00.000;270789;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;;;
1209275;153327;"41543";Р·Р°С‡РµС‚;;2010-05-27 00:00:00.000;270789;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;;;
1209276;153326;"41543";Р·Р°С‡РµС‚;;2010-05-27 00:00:00.000;270789;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;;;
1209277;153325;"41543";Р·Р°С‡РµС‚;;2010-05-27 00:00:00.000;270789;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;;;
1209278;153322;"41543";Р·Р°С‡РµС‚;;2010-05-27 00:00:00.000;270789;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;;;
1209279;153299;"41543";Р·Р°С‡РµС‚;;2010-05-27 00:00:00.000;270789;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;;;
1209280;151764;"41543";Р·Р°С‡РµС‚;;2010-05-27 00:00:00.000;270789;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;;;
1209281;152050;"41543";Р·Р°С‡РµС‚;;2010-05-27 00:00:00.000;270789;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;;;
1209282;151526;"41543";Р·Р°С‡РµС‚;;2010-05-27 00:00:00.000;270789;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;;;
1213568;148675;"41757";Р·Р°С‡РµС‚;;2010-05-28 00:00:00.000;270854;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;;;
1213569;148525;"41757";Р·Р°С‡РµС‚;;2010-05-27 00:00:00.000;270854;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;;;
1213570;148503;"41757";Р·Р°С‡РµС‚;;2010-05-12 00:00:00.000;270854;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;;;
1213571;146047;"41757";РЅРµР·Р°С‡;;2010-06-05 00:00:00.000;270854;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;РЅРµР°РєС‚СѓР°Р»СЊРЅР°;703;;;
1216973;149018;"41613";Р·Р°С‡РµС‚;;2010-05-31 00:00:00.000;270912;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;;;
1216974;149532;"41613";Р·Р°С‡РµС‚;;2010-05-31 00:00:00.000;270912;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;;;
1216975;149578;"41613";Р·Р°С‡РµС‚;;2010-05-31 00:00:00.000;270912;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;;;
1216980;148521;"41614";Р·Р°С‡РµС‚;;2010-06-09 00:00:00.000;270831;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;;;
1216981;148829;"41614";Р·Р°С‡РµС‚;;2010-06-09 00:00:00.000;270831;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;;;
1216982;149240;"41614";Р·Р°С‡РµС‚;;2010-06-09 00:00:00.000;270831;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;;;
1216983;148137;"41614";Р·Р°С‡РµС‚;;2010-06-09 00:00:00.000;270831;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;;;
1216984;148675;"41615";Р·Р°С‡РµС‚;;2010-05-31 00:00:00.000;270831;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;;;
1216985;149419;"41615";Р·Р°С‡РµС‚;;2010-05-31 00:00:00.000;270831;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;;;
1216986;149446;"41615";Р·Р°С‡РµС‚;;2010-05-31 00:00:00.000;270831;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;;;
1216987;148480;"41616";Р·Р°С‡РµС‚;;2010-05-31 00:00:00.000;271569;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;;;
1216988;148712;"41616";Р·Р°С‡РµС‚;;2010-05-31 00:00:00.000;271569;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;;;
1209339;151762;"41546";РЅРµР·Р°С‡;;2010-04-11 00:00:00.000;271390;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;;;
1209340;151823;"41546";РЅРµР·Р°С‡;;2010-05-28 00:00:00.000;271390;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;РЅРµР°РєС‚СѓР°Р»СЊРЅР°;703;;;
1209341;151760;"41546";Р·Р°С‡РµС‚;;2010-05-28 00:00:00.000;271390;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;;;
1209342;151766;"41546";РЅРµР·Р°С‡;;2010-04-11 00:00:00.000;271390;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;;;
1214933;142214;"41319";Р·Р°С‡РµС‚;;2010-06-07 00:00:00.000;271110;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;;;
1214934;142216;"41319";Р·Р°С‡РµС‚;;2010-06-07 00:00:00.000;271110;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;;;
1214935;142189;"41319";Р·Р°С‡РµС‚;;2010-06-07 00:00:00.000;271110;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;;;
1214936;142416;"41319";Р·Р°С‡РµС‚;;2010-06-07 00:00:00.000;271110;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;;;
1214937;140576;"41319";Р·Р°С‡РµС‚;;2010-06-07 00:00:00.000;271110;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;;;
1216607;133748;"41941";"5";;2010-06-08 00:00:00.000;302386;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;A;;
1216608;133901;"41941";"5";;2010-06-08 00:00:00.000;302386;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;A;;
1216609;134311;"41941";"5";;2010-06-08 00:00:00.000;302386;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;A;;
1216610;134350;"41941";"5";;2010-06-08 00:00:00.000;302386;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;A;;
1216611;134419;"41941";"5";;2010-06-08 00:00:00.000;302386;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;A;;
1216612;132794;"41941";"5";;2010-06-08 00:00:00.000;302386;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;A;;
1216672;149301;"85396";Р·Р°С‡РµС‚;;2010-06-07 00:00:00.000;271599;2;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;;;
1216673;149542;"85397";Р·Р°С‡РµС‚;;2010-06-08 00:00:00.000;271599;2;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;;;
1216684;146462;"41992";"2";;2010-06-09 00:00:00.000;271771;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;РЅРµР°РєС‚СѓР°Р»СЊРЅР°;703;FX;;
1216685;146246;"41992";"5";;2010-06-08 00:00:00.000;271771;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;A;;
1216686;143889;"41992";"2";;2010-05-05 00:00:00.000;271771;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;РЅРµР°РєС‚СѓР°Р»СЊРЅР°;703;FX;;
1216687;146107;"41992";"4";;2010-06-08 00:00:00.000;271771;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;B;;
1216688;146064;"41992";"5";;2010-06-08 00:00:00.000;271771;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;A;;
1216689;146060;"41992";"5";;2010-06-08 00:00:00.000;271771;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;A;;
1216690;146003;"41992";"5";;2010-06-08 00:00:00.000;271771;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;A;;
1216691;145983;"41992";"2";;2010-04-12 00:00:00.000;271771;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;РЅРµР°РєС‚СѓР°Р»СЊРЅР°;703;FX;;
1216692;145911;"41992";"2";;2010-04-12 00:00:00.000;271771;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;РЅРµР°РєС‚СѓР°Р»СЊРЅР°;703;FX;;
1216693;145901;"41992";"5";;2010-06-08 00:00:00.000;271771;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;A;;
1216694;144364;"41992";"4";;2010-06-08 00:00:00.000;271771;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;C;;
1216695;145617;"41992";"4";;2010-06-08 00:00:00.000;271771;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;B;;
1216696;145600;"41992";"5";;2010-06-08 00:00:00.000;271771;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;A;;
1216697;145457;"41992";"2";;2010-05-05 00:00:00.000;271771;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;РЅРµР°РєС‚СѓР°Р»СЊРЅР°;703;FX;;
1216698;142209;"41992";"4";;2010-06-08 00:00:00.000;271771;1;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000;;Р°РєС‚СѓР°Р»СЊРЅР°;703;B;;
